year,pnid,D_SEX,D_AGE,RQ7_1,Q3_1a1,REGION_01,REGION_02,REGION_03,REGION_04,REGION_05,REGION_06,REGION_07,REGION_08,REGION_09,REGION_10,REGION_11,REGION_12,REGION_13,REGION_14,REGION_15,REGION_16,REGION_17
2023,41,2,2,1,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,55,1,3,1,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,60,2,4,2,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,61,2,4,3,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,62,1,3,3,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,65,2,3,2,3.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,66,1,3,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,69,1,5,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,77,2,1,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,78,2,3,3,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,79,2,4,3,12.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,80,1,3,3,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,81,2,3,3,2.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,87,2,2,3,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,95,2,3,1,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,100,2,3,2,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,105,2,3,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,107,2,4,2,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2023,108,2,2,3,16.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,113,1,4,3,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,114,2,2,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,115,2,3,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,116,1,3,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,117,2,2,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,120,2,4,2,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,122,2,2,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,126,2,3,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,128,2,3,3,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,129,2,3,1,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,133,2,6,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,135,1,6,2,13.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,137,2,4,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,144,2,3,1,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,148,2,3,3,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023,150,2,5,2,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,152,2,1,3,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,153,2,2,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,154,2,2,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,155,1,3,3,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,157,2,6,2,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,158,1,3,1,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,159,2,2,2,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,160,2,3,2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,161,1,5,1,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023,162,2,2,1,13.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,163,2,5,2,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,166,1,5,2,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,167,2,2,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,171,2,4,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,177,2,6,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,178,2,2,2,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,179,2,5,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,181,2,2,3,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,182,1,3,2,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,183,1,3,1,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,185,2,5,2,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,187,2,3,2,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,188,1,1,3,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,191,2,4,2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,192,2,1,3,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,194,1,2,3,8.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,195,2,3,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,196,2,5,2,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,198,2,4,2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,199,1,2,3,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,200,1,2,1,11.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023,201,2,1,3,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,202,2,2,3,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,203,2,3,3,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,204,1,2,3,11.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,205,2,4,2,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,206,2,3,3,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,207,1,3,3,16.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,209,1,2,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,210,1,6,2,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,211,1,3,3,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,213,2,2,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,215,2,5,1,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,216,2,2,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,218,2,2,3,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,226,2,2,2,6.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2023,227,1,3,2,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,231,1,3,1,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,236,2,2,2,16.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,238,2,4,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,242,1,4,1,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,248,1,4,2,16.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,252,1,2,3,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2023,254,1,3,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,255,2,2,3,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,256,2,3,2,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,260,1,3,3,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,261,2,3,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,262,1,1,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,265,2,2,3,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,266,2,1,2,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,267,2,2,1,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,268,1,3,1,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,270,2,3,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,273,1,2,1,5.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,275,1,2,3,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,277,2,2,3,8.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,279,1,3,1,17.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,285,2,2,3,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,286,2,3,1,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,288,2,4,2,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,289,1,3,3,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,293,2,3,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,294,1,5,2,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023,296,2,3,3,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,297,1,3,2,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,300,2,4,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,303,1,3,2,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,304,2,4,2,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,307,1,2,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,308,1,3,3,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,310,2,6,1,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,311,2,1,3,2.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,312,2,2,1,5.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2023,316,2,5,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,320,2,5,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,322,2,4,2,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,323,2,3,3,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,324,2,5,3,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,325,2,5,2,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,327,2,2,1,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023,328,1,3,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,329,1,5,2,16.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,331,2,3,3,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,336,2,6,3,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,337,1,3,3,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,340,2,4,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,342,1,3,2,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,349,1,5,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,350,1,2,3,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,351,2,5,2,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,352,2,2,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,354,2,3,1,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,355,2,2,3,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,356,1,5,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,357,2,3,1,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,358,2,2,3,16.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,360,1,3,2,6.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,362,1,5,1,5.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,363,1,4,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,365,2,4,3,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,367,2,3,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,368,1,4,1,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,370,1,3,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,371,1,1,3,3.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2023,375,1,3,2,11.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,379,1,2,2,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,381,2,5,3,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,382,1,2,3,7.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,387,1,3,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,390,2,4,3,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,391,1,4,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,392,2,3,2,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,395,2,2,1,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,400,1,2,3,3.0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2023,401,2,2,2,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,402,1,2,1,1.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2023,409,1,2,3,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,413,2,3,1,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,414,2,2,2,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,415,1,2,2,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,416,1,2,3,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,418,1,5,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,419,1,2,1,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,423,2,2,2,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,428,2,3,3,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,431,2,2,3,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,436,2,4,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,438,2,5,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,440,2,2,2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,441,1,3,1,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,443,2,4,2,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,444,1,2,3,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,446,1,3,3,7.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,447,2,3,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,450,2,3,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,452,1,2,3,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,453,2,3,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,454,2,4,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,455,2,4,3,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,457,2,3,2,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,458,1,4,3,13.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,459,1,4,3,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,460,1,3,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,465,2,2,3,12.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,466,2,1,3,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,469,2,4,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,471,2,3,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,472,1,5,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,473,1,2,3,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,474,1,3,3,9.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,477,2,2,3,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,478,2,2,2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2023,482,2,5,2,11.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,484,1,3,3,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,485,2,5,3,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,486,2,3,2,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,487,2,1,3,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,489,1,3,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,491,2,6,2,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,492,2,4,2,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,493,1,3,3,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,494,1,3,3,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,499,2,2,2,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,500,1,3,3,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,501,1,2,2,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,502,2,2,3,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,503,2,2,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,504,2,3,1,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,505,1,3,3,6.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,506,2,2,3,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,507,2,3,3,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,508,2,1,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,509,2,3,2,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,510,2,4,3,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,512,1,3,2,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,513,2,5,3,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,514,2,3,3,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,518,1,2,3,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,519,2,5,3,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,521,1,2,3,2.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,522,2,6,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2023,523,2,2,3,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2023,525,2,2,2,2.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
2023,527,2,1,3,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,528,2,4,2,12.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,530,1,3,2,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,531,1,2,3,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,532,2,2,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,535,2,4,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,536,2,3,3,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,538,2,2,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,539,2,2,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,540,2,2,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,541,2,4,2,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,542,1,3,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,543,2,2,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,545,1,6,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,550,2,3,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,553,2,3,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,555,2,6,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,557,2,2,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,558,2,2,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,559,2,2,3,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,560,1,2,3,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,562,2,2,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,564,1,4,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,565,2,6,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2023,568,2,4,1,3.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2023,573,2,2,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,576,2,5,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,633,2,4,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,635,2,3,1,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
